instance,sota_total,student_conflicts,student_weight,sota_no_student_adjusted,time_penalty,room_penalty,distribution_penalty,check
agh-fal17,117627,11400,5,60627,4533,2970,2635,ok
agh-fis-spr17,2985,49,5,2740,162,247,123,ok
agh-ggis-spr17,34285,2548,5,21545,1383,278,1049,ok
agh-ggos-spr17,2855,25,5,2730,409,194,60,ok
agh-h-spr17,21161,10,5,21111,158,154,1355,ok
bet-fal17,289452,391,6,287106,220,6786,8904,ok
bet-spr18,348524,258,6,346976,180,7016,10972,ok
iku-fal17,18968,0,0,18968,13112,4296,52,ok
iku-spr18,25863,0,0,25863,19912,4031,64,ok
lums-fal17,349,0,0,349,60,149,16,ok
lums-spr18,95,0,0,95,0,25,14,ok
mary-fal18,4331,234,10,1991,299,328,213,ok
mary-spr17,14910,43,10,14480,815,50,2560,ok
muni-fi-fal17,2837,448,5,597,98,133,17,ok
muni-fi-spr16,3752,582,5,842,212,186,2,ok
muni-fi-spr17,3738,677,5,353,56,125,6,ok
muni-fsps-spr17,868,5,100,368,0,68,20,ok
muni-fsps-spr17c,2594,0,100,2594,71,609,14,ok
muni-fspsx-fal17,10014,0,100,10014,294,1254,94,ok
muni-pdf-spr16,17159,358,20,9999,1896,1851,205,ok
muni-pdf-spr16c,32762,608,20,20602,4744,2710,305,ok
muni-pdfx-fal17,82258,771,20,66838,14416,14698,741,ok
nbi-spr18,18014,440,4,16254,6422,3370,5,ok
pu-d5-spr17,15184,16,8,15056,1307,127,688,ok
pu-d9-fal19,38834,601,20,26814,3330,6274,389,ok
pu-llr-spr17,10038,643,8,4894,850,1752,37,ok
pu-proj-fal19,117169,2182,8,99713,19282,11547,1895,ok
tg-fal17,4215,0,0,4215,1792,31,30,ok
tg-spr18,12704,0,0,12704,982,180,528,ok
yach-fal17,1074,122,5,464,0,404,6,ok
