instance,classes,x_vars,room_conflict_pairs,hard_rows_total,hard_nnz_total,soft_rows,soft_nnz,steady_gib,peak_est_gib,recommended_gib,seconds
agh-ggis-spr17,1852,261873,18334330,18924540,44408051,412730,5074600,1.0616051815450191,1.6985682904720307,2.1232103630900383,221.52599477767944
lums-spr18,487,379909,264945292,265413323,544633743,169848,8176371,11.39446035027504,18.231136560440063,22.78892070055008,179.1538028717041
mary-fal18,951,181332,37591748,37615068,75703052,30846,600458,1.6075590141117573,2.572094422578812,3.2151180282235146,14.169825553894043
mary-spr17,882,166311,32813368,32843118,66262891,55794,837058,1.414732936769724,2.2635726988315583,2.829465873539448,24.462701320648193
muni-fi-fal17,535,40142,2046246,2075005,4447032,30599,294415,0.10554781928658485,0.16887651085853578,0.2110956385731697,5.6128082275390625
muni-fi-spr16,575,39279,2229784,2274446,4941180,26959,237882,0.11480101570487022,0.18368162512779238,0.22960203140974045,4.2008376121521
muni-fi-spr17,516,49088,3415992,3477164,7694243,20898,261268,0.17299750074744225,0.2767960011959076,0.3459950014948845,7.499980449676514
muni-fsps-spr17,561,29259,1112930,1221792,2841125,34212,70648,0.06711038947105408,0.10737662315368653,0.13422077894210815,6.502180337905884
muni-fsps-spr17c,650,353629,149730796,153615038,337452620,33886,2746207,6.993524175137281,11.189638680219652,13.987048350274563,720.15483045578
nbi-spr18,782,140708,17710364,17963988,37339828,11345,86446,0.7987229451537132,1.2779567122459412,1.5974458903074265,23.369737148284912
pu-d5-spr17,1061,74375,3870048,3906484,8164883,121098,1413398,0.21215489506721497,0.339447832107544,0.42430979013442993,4.725972890853882
pu-llr-spr17,1001,174671,16843504,16883480,34598970,29056,1437462,0.7785945422947407,1.2457512676715852,1.5571890845894814,12.31671953201294
tg-fal17,711,53838,1055589,1253018,3382103,109990,580265,0.09213082864880562,0.147409325838089,0.18426165729761124,126.36347508430481
tg-spr18,676,45597,818674,931030,2646453,373263,5381393,0.16733280569314957,0.2677324891090393,0.33466561138629913,108.74795579910278
yach-fal17,417,88707,15792975,16187608,34973390,41486,894733,0.7511812746524811,1.2018900394439698,1.5023625493049622,31.50915503501892
